Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Targets,Receptions,Receiving_Yards,Receiving_TDs,First_Downs,Fumbles,Teams,Yards_Per_Reception,Catch_Rate,TD_Rate,Yards_Per_Game,TD_Per_Game,First_Down_Rate,Player_Score,Tier,All_Time_Rank,Experience_Level,Prime_Years,Prime_Rating
Tim Patrick,2018,2021,4,28,55,37,236.0,143,2009,12,101,2.0,DEN,14.0,60.6,8.4,36.5,0.22,70.6,26.8,Great,278,Limited,,
Tim White,2018,2018,1,24,3,0,1.0,1,14,0,1,1.0,BAL,14.0,100.0,0.0,4.7,0.0,100.0,17.8,Good,614,Minimal,,
Tiquan Underwood,2010,2013,4,26,42,10,129.0,63,1006,6,46,0.0,"JAX, NWE, TAM",16.0,48.8,9.5,24.0,0.14,73.0,22.0,Great,411,Minimal,,
Titus Young,2011,2012,2,23,26,17,142.0,81,990,10,53,1.0,DET,12.2,57.0,12.3,38.1,0.38,65.4,28.8,Elite,243,Minimal,,
Todd Devoe,2005,2006,2,26,15,0,15.0,9,87,1,1,0.0,DEN,9.7,60.0,11.1,5.8,0.07,11.1,12.5,Average,992,Minimal,,
Todd Pinkston,2000,2004,5,27,78,62,380.0,184,2816,14,115,3.0,PHI,15.3,48.4,7.6,36.1,0.18,62.5,29.7,Elite,225,Limited,,
Todd Watkins,2008,2009,2,26,21,1,20.0,8,90,0,4,0.0,OAK,11.2,40.0,0.0,4.3,0.0,50.0,11.0,Below Average,1080,Minimal,,
Tom Kennedy,2021,2022,2,26,19,1,25.0,14,195,0,9,0.0,DET,13.9,56.0,0.0,10.3,0.0,64.3,14.1,Average,874,Minimal,,
Tommy Streeter,2014,2014,1,25,2,0,1.0,0,0,0,0,0.0,JAX,,0.0,,0.0,0.0,,0.1,Below Average,1193,,,
Tommylee Lewis,2016,2021,5,29,41,4,33.0,22,264,2,13,4.0,"MIA, NOR",12.0,66.7,9.1,6.4,0.05,59.1,14.9,Average,818,Minimal,,
Toney Clemons,2012,2012,1,24,4,0,11.0,3,41,0,2,0.0,JAX,13.7,27.3,0.0,10.2,0.0,66.7,11.6,Below Average,1042,Minimal,,
Tony Horne,2000,2000,1,24,11,0,7.0,4,32,2,2,3.0,STL,8.0,57.1,50.0,2.9,0.18,50.0,15.9,Average,754,Minimal,,
Tony Martin,2000,2001,2,36,21,14,140.0,63,941,3,48,0.0,"ATL, MIA",14.9,45.0,4.8,44.8,0.14,76.2,26.1,Great,296,Minimal,,
Tony Simmons,2000,2001,2,27,19,2,36.0,16,248,1,13,0.0,"2TM, NWE",15.5,44.4,6.2,13.1,0.05,81.2,17.7,Good,621,Minimal,,
Tony Washington,2016,2016,1,24,2,0,1.0,1,9,0,0,0.0,JAX,9.0,100.0,0.0,4.5,0.0,0.0,12.7,Average,980,Minimal,,
Tori Gurley,2013,2013,1,26,3,0,3.0,1,15,0,1,0.0,CLE,15.0,33.3,0.0,5.0,0.0,100.0,12.8,Average,974,Minimal,,
Torrance Small,2000,2001,2,31,17,14,101.0,44,598,3,30,0.0,"NWE, PHI",13.6,43.6,6.8,35.2,0.18,68.2,23.9,Great,356,Minimal,,
Torrey Smith,2011,2018,8,29,119,106,643.0,319,5141,41,221,2.0,"BAL, CAR, PHI, SFO",16.1,49.6,12.9,43.2,0.34,69.3,38.8,Elite,108,Moderate,2012-2014,22.0
Torry Holt,2000,2009,10,33,157,143,1463.0,868,12594,68,598,16.0,"JAX, STL",14.5,59.3,7.8,80.2,0.43,68.9,66.1,Elite,9,Extended,2003-2005,22.6
Travis Benjamin,2012,2021,9,32,111,37,403.0,208,3143,19,127,16.0,"CLE, LAC, SDG, SFO",15.1,51.6,9.1,28.3,0.17,61.1,26.2,Great,294,Limited,,
Travis Fulgham,2019,2020,2,25,16,8,70.0,38,539,4,26,0.0,"DET, PHI",14.2,54.3,10.5,33.7,0.25,68.4,23.4,Great,370,Minimal,,
Travis McGriff,2000,2001,2,25,20,0,12.0,2,51,1,1,0.0,DEN,25.5,16.7,50.0,2.6,0.05,50.0,15.2,Average,801,Minimal,,
Travis Rudolph,2017,2017,1,22,7,1,21.0,8,101,0,4,0.0,NYG,12.6,38.1,0.0,14.4,0.0,50.0,12.3,Below Average,1006,Minimal,,
Travis Taylor,2000,2007,8,29,101,90,612.0,312,4017,22,193,5.0,"2TM, BAL, MIN",12.9,51.0,7.1,39.8,0.22,61.9,33.8,Elite,160,Moderate,2002-2006,19.5
Travis Wilson,2006,2006,1,22,4,1,6.0,2,32,0,2,0.0,CLE,16.0,33.3,0.0,8.0,0.0,100.0,14.2,Average,864,Minimal,,
Tre McBride,2015,2017,2,25,15,3,19.0,10,152,1,7,0.0,"CHI, TEN",15.2,52.6,10.0,10.1,0.07,70.0,15.7,Average,768,Minimal,,
Tre Tucker,2023,2023,1,22,16,1,34.0,19,331,2,12,0.0,LVR,17.4,55.9,10.5,20.7,0.12,63.2,19.3,Good,538,Minimal,,
Tre'Quan Smith,2018,2022,5,26,66,35,196.0,131,1764,18,94,2.0,NOR,13.5,66.8,13.7,26.7,0.27,71.8,26.8,Great,278,Limited,,
Trent Sherfield,2018,2023,6,27,95,10,141.0,78,930,5,46,0.0,"ARI, BUF, MIA, SFO",11.9,55.3,6.4,9.8,0.05,59.0,15.8,Average,761,Minimal,,
Trent Taylor,2017,2023,6,29,78,3,137.0,87,834,3,46,6.0,"CHI, CIN, SFO",9.6,63.5,3.4,10.7,0.04,52.9,15.3,Average,791,Minimal,,
