Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Completions,Attempts,Passing_Yards,Passing_TDs,Interceptions,Average_Passer_Rating,Times_Sacked,Sack_Yards_Lost,Total_Wins,Total_Losses,Total_Ties,Teams,Completion_Percentage,TD_Percentage,Int_Percentage,Yards_Per_Attempt,Win_Percentage,QB_Score,Tier,All_Time_Rank,Prime_Years,Prime_Rating,Era,Era_Avg_pass_rating,Era_Avg_pass_yds,Era_Avg_pass_td,Era_Avg_pass_int,Era_Avg_pass_cmp,Era_Avg_pass_att,Average_Passer_Rating_vs_era,Passing_Yards_vs_era,Passing_TDs_vs_era
Kliff Kingsbury,2005,2005,1,26,1,0,1,2,17,0,0,79.2,0,0,0,0,0,NYJ,50.0,0.0,0.0,8.5,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,5.6,-98.9,-100.0
Kordell Stewart,2000,2003,4,31,48,39,652,1148,7542,38,37,73.72500000000001,91,517,25,14,0,"CHI, PIT",56.8,3.3,3.2,6.6,64.1,4.6,Unranked,115,2000-2002,79.4,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-0.5,413.1,342.9
Koy Detmer,2000,2005,6,32,94,2,77,144,752,2,7,59.44000000000001,7,48,1,1,0,PHI,53.5,1.4,4.9,5.2,50.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-19.8,-48.8,-76.7
Kurt Kittner,2003,2003,1,23,7,4,44,114,391,2,6,32.5,5,30,1,3,0,ATL,38.6,1.8,5.3,3.4,25.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-56.1,-73.4,-76.7
Kurt Warner,2000,2009,10,38,107,100,2337,3560,27952,167,115,88.15,231,1468,54,46,0,"ARI, NYG, STL",65.6,4.7,3.2,7.9,54.0,29.6,Unranked,25,2007-2009,93.3,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,18.9,1801.7,1846.4
Kyle Allen,2018,2022,5,26,23,19,441,704,4734,26,21,90.32000000000001,60,487,7,12,0,"CAR, HOU, WAS",62.6,3.7,3.0,6.7,36.8,3.9,Unranked,125,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,11.6,172.6,143.0
Kyle Boller,2003,2011,8,30,67,47,861,1519,8931,48,54,63.35,123,802,20,27,0,"BAL, OAK, STL",56.7,3.2,3.6,5.9,42.6,5.2,Unranked,110,2004-2007,72.6,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-14.5,507.6,459.4
Kyle Lauletta,2018,2018,1,23,2,0,0,5,0,0,1,0.0,0,0,0,0,0,NYG,0.0,0.0,20.0,0.0,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-100.0,-100.0,-100.0
Kyle Orton,2005,2014,11,32,96,90,1763,2964,19795,110,78,84.75454545454545,175,1070,45,45,0,"2TM, BUF, CHI, DAL, DEN, KAN",59.5,3.7,2.6,6.7,50.0,17.7,Unranked,48,2008-2010,84.6,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,13.0,1193.8,1111.5
Kyle Trask,2022,2023,2,25,3,0,3,10,23,0,0,41.0,0,0,0,0,0,TAM,30.0,0.0,0.0,2.3,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-49.3,-98.7,-100.0
Kyler Murray,2019,2023,5,26,65,65,1492,2239,15647,94,46,91.78,149,1082,28,36,1,ARI,66.6,4.2,2.1,7.0,43.8,13.6,Unranked,64,2019-2021,94.1,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,13.4,801.0,778.5
Lamar Jackson,2018,2023,6,26,86,77,1362,2112,15887,125,45,96.31666666666668,169,859,58,19,0,BAL,64.5,5.9,2.1,7.5,75.3,16.0,Unranked,54,2019-2021,99.9,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,19.0,814.8,1068.2
Landry Jones,2015,2017,3,28,18,5,108,169,1310,8,7,87.63333333333333,9,66,3,2,0,PIT,63.9,4.7,4.1,7.8,60.0,0.7,Unranked,163,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,8.3,-24.6,-25.2
Levi Brown,2010,2010,1,23,1,0,2,3,24,0,1,51.4,0,0,0,0,0,BUF,66.7,0.0,33.3,8.0,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-31.5,-98.4,-100.0
Logan Thomas,2014,2014,1,23,2,0,1,9,81,1,0,101.6,2,11,0,0,0,ARI,11.1,11.1,0.0,9.0,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,25.6,-95.3,-90.7
Logan Woodside,2020,2023,2,28,7,0,4,7,34,0,1,47.75,1,7,0,0,0,"ATL, TEN",57.1,0.0,14.3,4.9,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-41.0,-98.0,-100.0
Luke Falk,2019,2019,1,25,3,2,47,73,416,0,3,62.4,16,96,0,2,0,NYJ,64.4,0.0,4.1,5.7,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-22.9,-76.0,-100.0
Luke McCown,2004,2015,8,34,44,10,216,356,2370,9,15,59.1625,34,271,2,8,0,"CLE, JAX, NOR, TAM",60.7,2.5,4.2,6.7,20.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-21.1,54.9,-0.9
Mac Jones,2021,2023,3,25,42,42,864,1308,8918,46,36,84.76666666666667,84,599,18,24,0,NWE,66.1,3.5,2.8,6.8,42.9,6.8,Unranked,96,2021-2023,84.8,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,4.8,413.5,329.9
Malik Cunningham,2023,2023,2,25,3,0,0,0,0,0,0,0.0,2,10,0,0,0,"2TM, NWE",0.0,0.0,0.0,0.0,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-100.0,-100.0,-100.0
Malik Willis,2022,2023,2,24,11,3,35,66,350,0,3,80.75,14,79,1,2,0,TEN,53.0,0.0,4.5,5.3,33.3,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-0.2,-79.8,-100.0
Marc Bulger,2002,2009,8,32,96,95,1969,3171,22814,122,93,84.5375,254,1863,41,54,0,STL,62.1,3.8,2.9,7.2,43.2,22.9,Unranked,33,2004-2006,93.7,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,14.1,1452.2,1321.9
