Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Targets,Receptions,Receiving_Yards,Receiving_TDs,First_Downs,Fumbles,Teams,Yards_Per_Reception,Catch_Rate,TD_Rate,Yards_Per_Game,TD_Per_Game,First_Down_Rate,Player_Score,Tier,All_Time_Rank,Experience_Level,Prime_Years,Prime_Rating
Tyson DeVree,2008,2008,1,24,2,0,1.0,0,0,0,0,0.0,NWE,,0.0,,0.0,0.0,,0.0,Unranked,621,,,
Vance McDonald,2013,2020,7,30,90,66,244.0,157,1645,11,79,6.0,"PIT, SFO",10.5,64.3,7.0,18.3,0.12,50.3,17.6,Elite,123,Limited,2015-2019,21.1
Vernon Davis,2006,2019,14,35,198,179,928.0,583,7562,63,338,10.0,"2TM, SFO, WAS",13.0,62.8,10.8,38.2,0.32,58.0,52.6,Elite,8,Moderate,2011-2013,24.8
Virgil Green,2011,2020,10,32,137,72,149.0,102,1145,7,57,0.0,"DEN, LAC",11.2,68.5,6.9,8.4,0.05,55.9,15.9,Great,142,Limited,,
Visanthe Shiancoe,2003,2013,11,33,149,90,394.0,245,2679,27,140,2.0,"MIN, NWE, NYG, TEN",10.9,62.2,11.0,18.0,0.18,57.1,28.1,Elite,43,Limited,2007-2009,24.6
Walter Rasby,2000,2004,5,32,71,43,71.0,40,398,3,27,0.0,"2TM, DET, NOR, WAS",10.0,56.3,7.5,5.6,0.04,67.5,11.5,Good,299,Minimal,,
Wesley Duke,2005,2005,1,24,3,0,4.0,2,22,1,2,0.0,DEN,11.0,50.0,50.0,7.3,0.33,100.0,8.2,Below Average,538,Minimal,,
Wesley Walls,2000,2003,4,37,51,37,191.0,113,1337,12,62,0.0,"CAR, GNB",11.8,59.2,10.6,26.2,0.24,54.9,18.0,Elite,116,Limited,,
Weslye Saunders,2012,2013,2,24,17,5,15.0,6,61,0,4,0.0,IND,10.2,40.0,0.0,3.6,0.0,66.7,6.8,Below Average,587,Minimal,,
Will Dissly,2018,2023,6,27,72,65,156.0,127,1421,13,70,2.0,SEA,11.2,81.4,10.2,19.7,0.18,55.1,18.6,Elite,109,Limited,,
Will Heller,2003,2012,10,31,134,35,149.0,92,782,12,47,2.0,"DET, MIA, SEA, TAM",8.5,61.7,13.0,5.8,0.09,51.1,15.9,Great,142,Minimal,,
Will Mallory,2023,2023,1,24,12,2,26.0,18,207,0,11,1.0,IND,11.5,69.2,0.0,17.2,0.0,61.1,10.1,Average,412,Minimal,,
Will Tye,2015,2017,3,26,32,18,138.0,94,897,4,40,1.0,"NYG, NYJ",9.5,68.1,4.3,28.0,0.12,42.6,13.3,Great,204,Minimal,,
Will Yeatman,2011,2011,1,23,3,2,1.0,0,0,0,0,0.0,MIA,,0.0,,0.0,0.0,,0.0,Unranked,621,,,
Xavier Grimble,2016,2019,4,27,47,7,41.0,23,239,3,14,1.0,PIT,10.4,56.1,13.0,5.1,0.06,60.9,9.6,Average,452,Minimal,,
Zach Ertz,2013,2023,11,33,151,113,1061.0,709,7434,46,399,5.0,"2TM, ARI, PHI",10.5,66.8,6.5,49.2,0.3,56.3,49.3,Elite,9,Extended,2016-2018,21.6
Zach Gentry,2019,2022,3,26,38,25,49.0,39,303,0,18,0.0,PIT,7.8,79.6,0.0,8.0,0.0,46.2,10.8,Good,350,Minimal,,
Zach Miller,2007,2017,14,33,176,139,710.0,474,5435,35,251,4.0,"CHI, JAX, OAK, SEA",11.5,66.8,7.4,30.9,0.2,53.0,39.3,Elite,19,Moderate,2013-2016,23.3
Zach Potter,2009,2012,4,26,45,14,22.0,11,83,0,2,0.0,JAX,7.5,50.0,0.0,1.8,0.0,18.2,7.5,Below Average,562,Minimal,,
Zach Sudfeld,2013,2014,2,25,30,5,17.0,10,148,0,11,0.0,"2TM, NYJ",14.8,58.8,0.0,4.9,0.0,110.0,9.6,Average,452,Minimal,,
Zachary Hilton,2003,2005,2,25,18,6,57.0,35,396,1,20,0.0,NOR,11.3,61.4,2.9,22.0,0.06,57.1,11.5,Good,299,Minimal,,
Zack Pianalto,2011,2011,1,22,13,0,5.0,4,40,0,2,0.0,TAM,10.0,80.0,0.0,3.1,0.0,50.0,10.5,Average,377,Minimal,,
Zeron Flemister,2000,2005,5,29,60,20,76.0,38,439,4,27,2.0,"OAK, WAS",11.6,50.0,10.5,7.3,0.07,71.1,11.5,Good,299,Minimal,,
